,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_tenure_ratio
38,34,0,0,3,106.35,3549.25,0,104.38970588235294
39,11,0,0,4,97.85,1105.4,0,100.4909090909091
40,10,0,1,1,49.55,475.7,1,47.57
41,70,0,2,2,69.2,4872.35,1,69.605
42,17,0,1,1,20.75,418.25,1,24.602941176470587
43,63,0,2,2,79.85,4861.45,1,77.16587301587302
44,13,0,0,3,76.2,981.45,1,75.49615384615385
45,49,0,0,3,84.5,3906.7,1,79.72857142857143
46,2,0,0,1,49.25,97.0,1,48.5
47,2,0,0,3,80.65,144.15,0,72.075
48,52,0,2,2,79.75,4217.8,1,81.11153846153846
49,69,0,2,2,64.15,4254.1,1,61.6536231884058
50,43,0,0,3,90.25,3838.75,1,89.27325581395348
51,15,0,0,2,99.1,1426.4,0,95.09333333333332
52,25,0,0,2,69.5,1752.65,1,70.10600000000001
53,8,0,0,2,80.65,633.3,0,79.1625
54,60,0,1,2,74.85,4456.35,1,74.27250000000001
55,18,0,0,3,95.45,1752.55,0,97.36388888888888
56,63,0,1,2,99.65,6311.2,1,100.17777777777778
57,66,0,1,3,108.45,7076.35,1,107.21742424242424
58,34,0,2,2,24.95,894.3,1,26.302941176470583
59,72,0,2,2,107.5,7853.7,1,109.07916666666668
60,47,0,0,3,100.5,4707.1,1,100.15106382978723
61,60,0,0,4,89.9,5450.7,1,90.845
62,72,1,2,4,42.1,2962.0,1,41.138888888888886
63,18,0,1,2,54.4,957.1,1,53.172222222222224
64,9,0,0,3,94.4,857.25,0,95.25
65,3,0,0,3,75.3,244.1,1,81.36666666666666
66,47,0,1,3,78.9,3650.35,1,77.66702127659575
67,31,0,2,1,79.2,2497.2,1,80.55483870967741
68,50,0,2,4,20.15,930.9,1,18.618
69,10,0,0,1,79.85,887.35,1,88.735
70,1,0,0,1,49.05,49.05,1,49.05
71,52,0,1,3,20.4,1090.65,1,20.974038461538463
72,64,0,2,4,111.6,7099.0,1,110.921875
73,62,0,2,4,24.25,1424.6,1,22.97741935483871
74,3,0,0,4,64.5,177.4,1,59.13333333333333
75,56,0,1,3,110.5,6139.5,1,109.63392857142856
76,46,0,1,2,55.65,2688.85,1,58.45326086956521
77,8,0,0,1,54.65,482.25,1,60.28125
78,30,0,0,3,74.75,2111.3,1,70.37666666666668
79,45,0,1,2,25.9,1216.6,1,27.03555555555556
80,1,0,0,3,79.35,79.35,0,79.35
81,11,1,0,3,50.55,565.35,1,51.39545454545455
82,7,0,0,4,75.15,496.9,0,70.98571428571428
83,42,0,0,4,103.8,4327.5,1,103.03571428571428
84,49,0,2,4,20.15,973.35,1,19.86428571428572
85,9,0,0,2,99.3,918.75,1,102.08333333333331
86,35,0,1,4,62.15,2215.45,1,63.29857142857142
87,48,0,2,4,20.65,1057.0,1,22.02083333333333
88,46,0,2,1,19.95,927.1,1,20.15434782608696
89,29,1,0,1,33.75,1009.25,1,34.80172413793103
90,30,0,0,4,82.05,2570.2,1,85.67333333333333
91,1,0,0,3,74.7,74.7,1,74.7
92,66,0,2,1,84.0,5714.25,1,86.57954545454545
93,65,0,0,2,111.05,7107.0,1,109.33846153846154
94,72,0,2,4,100.9,7459.05,1,103.59791666666666
95,12,0,0,3,78.95,927.35,0,77.27916666666667
96,71,0,1,2,66.85,4748.7,1,66.8830985915493
97,5,0,0,1,21.05,113.85,0,22.77
98,52,0,2,4,21.0,1107.2,1,21.29230769230769
99,25,0,0,3,98.5,2514.5,0,100.58
100,1,0,0,1,20.2,20.2,1,20.2
101,1,0,0,3,19.45,19.45,1,19.45
102,38,0,1,4,95.0,3605.6,1,94.88421052631578
103,66,1,1,4,45.55,3027.25,1,45.86742424242424
104,68,0,2,4,110.0,7611.85,0,111.93897058823528
105,5,1,0,1,24.3,100.2,1,20.04
106,72,0,1,3,104.15,7303.05,1,101.43125
107,32,1,1,1,30.15,927.65,1,28.9890625
108,43,0,1,1,94.35,3921.3,1,91.19302325581396
109,72,0,2,2,19.4,1363.25,1,18.93402777777778
110,55,0,0,3,96.75,5238.9,0,95.25272727272728
111,52,0,1,2,57.95,3042.25,1,58.50480769230769
112,43,0,0,3,91.65,3954.1,1,91.95581395348836
113,37,0,0,3,76.5,2868.15,0,77.51756756756757
114,64,1,2,3,54.6,3423.5,1,53.4921875
115,3,0,0,3,89.85,248.4,1,82.8
116,36,1,2,4,31.05,1126.35,1,31.2875
117,10,0,0,3,100.25,1064.65,0,106.465
118,41,0,2,1,20.65,835.15,1,20.36951219512195
119,27,0,0,2,85.2,2151.6,1,79.68888888888888
120,56,0,1,2,99.8,5515.45,1,98.49017857142856
121,6,0,0,1,20.7,112.75,1,18.791666666666668
122,3,0,0,3,74.4,229.55,0,76.51666666666667
123,7,0,0,1,50.7,350.35,1,50.05
124,4,0,0,1,20.85,62.9,1,15.725
125,33,0,2,3,88.95,3027.65,1,91.7469696969697
126,27,0,0,3,78.05,2135.5,0,79.0925925925926
127,72,0,2,4,23.55,1723.95,1,23.94375
128,1,0,0,1,19.75,19.75,1,19.75
129,71,1,1,3,56.45,3985.35,1,56.131690140845066
130,13,0,0,3,85.95,1215.65,1,93.51153846153846
131,25,1,0,2,58.6,1502.65,0,60.106
132,67,0,2,4,50.55,3260.1,1,48.65820895522388
133,1,1,0,3,35.45,35.45,0,35.45
134,2,0,0,3,44.35,81.25,0,40.625
135,43,0,2,2,25.7,1188.2,1,27.632558139534886
136,23,0,0,4,75.0,1778.5,1,77.32608695652173
137,64,0,2,1,20.2,1277.75,1,19.96484375
138,57,0,2,1,19.6,1170.55,1,20.5359649122807
139,1,0,0,1,70.45,70.45,0,70.45
140,72,0,2,2,88.05,6425.65,1,89.24513888888889
141,8,0,0,3,71.15,563.65,0,70.45625
142,61,0,2,4,101.05,5971.25,1,97.88934426229508
143,64,0,1,2,84.3,5289.05,1,82.64140625
144,71,0,2,4,23.95,1756.2,1,24.735211267605635
145,65,0,2,2,99.05,6416.7,1,98.71846153846154
146,3,0,1,1,19.6,61.35,1,20.45
147,1,0,0,3,45.65,45.65,0,45.65
148,30,0,1,2,64.5,1929.95,1,64.33166666666666
149,15,0,0,1,69.5,1071.4,1,71.42666666666668
150,8,0,0,3,68.55,564.35,1,70.54375
151,7,0,0,1,95.0,655.5,0,93.64285714285714
152,70,0,1,2,108.15,7930.55,1,113.29357142857144
153,62,0,2,3,86.1,5215.25,1,84.11693548387096
154,6,0,0,1,19.7,113.5,1,18.916666666666668
155,14,0,0,4,80.9,1152.8,1,82.34285714285714
156,22,0,0,4,84.15,1821.95,1,82.81590909090909
157,22,0,1,1,20.15,419.9,1,19.08636363636364
158,16,0,2,1,64.25,1024.0,1,64.0
159,10,0,2,4,25.7,251.6,1,25.16
160,13,0,0,3,56.0,764.55,1,58.81153846153846
161,20,0,0,3,82.4,1592.35,0,79.61749999999999
162,2,0,0,3,69.7,135.2,1,67.6
163,53,0,2,4,73.9,3958.25,1,74.68396226415095
164,11,0,1,1,20.6,233.9,1,21.263636363636365
165,69,0,2,1,19.9,1363.45,1,19.76014492753623
166,4,0,0,4,70.9,273.0,0,68.25
167,72,0,2,4,89.05,6254.45,1,86.86736111111111
168,58,1,0,3,45.3,2651.2,0,45.710344827586205
169,16,0,0,3,20.4,321.4,1,20.0875
170,43,0,1,4,84.25,3539.25,1,82.30813953488372
171,2,0,0,3,104.4,242.8,0,121.4
172,14,0,2,1,81.95,1181.75,1,84.41071428571429
173,53,0,1,4,94.85,5000.2,0,94.3433962264151
174,32,0,1,4,20.55,654.55,1,20.4546875
175,34,0,0,3,24.7,780.2,1,22.947058823529414
176,15,0,0,1,74.45,1145.7,0,76.38000000000001
177,7,0,0,4,76.45,503.6,0,71.94285714285715
178,15,0,0,4,105.35,1559.25,1,103.95
179,61,0,1,2,20.55,1252.0,1,20.524590163934427
180,1,1,0,4,29.95,29.95,0,29.95
181,1,0,0,1,45.3,45.3,1,45.3
182,8,0,0,4,84.5,662.65,0,82.83125
183,33,0,1,2,74.75,2453.3,1,74.34242424242424
184,13,0,0,3,79.25,1111.65,0,85.51153846153846
185,1,1,0,3,24.8,24.8,0,24.8
186,20,0,0,1,51.8,1023.85,1,51.1925
187,3,1,0,3,30.4,82.15,1,27.383333333333336
188,13,0,1,3,19.65,244.8,1,18.83076923076923
189,40,0,0,2,56.6,2379.1,1,59.4775
190,43,0,1,2,71.9,3173.35,1,73.79883720930232
191,6,0,0,3,91.0,531.0,0,88.5
192,69,0,2,4,19.75,1375.4,1,19.933333333333334
193,72,0,2,2,109.7,8129.3,1,112.90694444444443
194,59,0,2,2,19.3,1192.7,1,20.215254237288136
195,20,0,0,3,96.55,1901.65,1,95.0825
196,24,0,2,4,24.1,587.4,1,24.475
197,59,0,0,3,111.35,6519.75,1,110.5042372881356
198,72,0,2,4,112.25,8041.65,1,111.68958333333332
199,1,0,0,1,20.75,20.75,1,20.75
200,27,0,1,2,101.9,2681.15,1,99.30185185185184
201,14,0,0,2,80.05,1112.3,1,79.45
202,71,0,2,3,105.55,7405.5,1,104.30281690140843
203,13,0,0,2,78.3,1033.95,1,79.53461538461539
204,44,0,0,2,68.85,2958.95,1,67.24886363636364
205,33,0,1,4,79.95,2684.85,1,81.35909090909091
206,72,1,2,2,55.45,4179.2,1,58.04444444444445
207,1,0,0,3,79.9,79.9,0,79.9
208,19,0,0,3,106.6,1934.45,0,101.81315789473685
209,64,0,1,2,102.45,6654.1,1,103.9703125
210,2,0,0,2,46.0,84.5,0,42.25
211,1,1,0,3,25.25,25.25,1,25.25
212,61,0,2,1,19.75,1124.2,1,18.42950819672131
213,29,0,1,3,20.0,540.05,1,18.622413793103448
214,23,0,0,3,86.8,1975.85,1,85.90652173913043
215,57,1,0,4,58.75,3437.45,1,60.30614035087719
216,72,1,2,2,45.25,3139.8,1,43.60833333333333
217,66,1,2,4,56.6,3789.2,1,57.41212121212121
218,65,0,2,4,84.2,5324.5,1,81.91538461538461
219,8,0,0,4,80.0,624.6,1,78.075
220,4,0,0,3,70.15,268.35,0,67.0875
221,71,0,2,4,24.75,1836.9,1,25.87183098591549
222,1,0,1,3,20.2,20.2,1,20.2
223,4,0,0,1,50.05,179.35,0,44.8375
224,12,0,1,4,19.35,219.35,1,18.279166666666665
225,24,1,1,1,50.6,1288.75,1,53.69791666666666
226,31,0,1,1,81.15,2545.75,1,82.12096774193549
227,1,0,0,1,55.2,55.2,0,55.2
228,30,0,0,2,89.9,2723.15,1,90.77166666666668
229,47,0,2,2,85.3,4107.25,1,87.38829787234043
230,54,0,2,2,108.0,5760.65,1,106.6787037037037
231,50,0,0,2,93.5,4747.5,1,94.95
232,1,0,0,1,84.6,84.6,0,84.6
233,72,0,2,2,20.25,1566.9,1,21.762500000000003
234,29,0,0,3,25.15,702.0,1,24.20689655172414
235,2,0,0,1,54.4,114.1,0,57.05
236,10,1,2,1,29.6,299.05,1,29.905
237,18,0,0,3,73.15,1305.95,1,72.55277777777778
238,11,0,0,3,95.0,1120.3,0,101.84545454545454
239,16,0,2,1,19.75,284.35,1,17.771875
240,72,0,2,4,86.6,6350.5,1,88.20138888888889
241,72,0,2,4,109.2,7878.3,1,109.42083333333332
242,41,0,1,2,74.7,3187.65,1,77.74756097560976
243,65,0,0,3,94.4,6126.15,1,94.24846153846153
244,13,0,0,3,54.8,731.3,1,56.25384615384615
245,4,0,0,3,75.35,273.4,1,68.35
246,41,0,1,1,65.0,2531.8,1,61.75121951219513
247,15,0,0,3,74.4,1074.3,0,71.61999999999999
248,1,0,0,1,48.55,48.55,0,48.55
249,42,0,1,3,99.0,4298.45,1,102.3440476190476
250,51,0,1,3,93.5,4619.55,1,90.57941176470588
251,2,0,0,3,70.4,147.15,0,73.575
252,1,1,0,3,40.2,40.2,0,40.2
253,32,0,1,2,83.7,2633.3,1,82.290625
254,10,0,0,1,19.85,193.05,1,19.305
255,67,1,2,3,59.55,4103.9,1,61.252238805970144
256,61,0,2,2,115.1,7008.15,1,114.88770491803278
257,50,0,1,2,114.35,5791.1,1,115.822
258,2,0,0,2,44.6,80.55,0,40.275
259,29,1,0,3,45.0,1228.65,1,42.36724137931035
260,3,1,0,3,41.15,132.2,0,44.06666666666666
261,13,0,0,3,106.9,1364.3,0,104.94615384615383
262,57,0,0,3,89.85,4925.35,1,86.40964912280702
263,31,1,2,4,49.85,1520.1,1,49.03548387096774
264,45,0,1,1,113.3,5032.25,1,111.82777777777778
265,61,0,2,1,88.1,5526.75,1,90.60245901639344
266,50,0,2,4,24.9,1195.25,1,23.905
267,19,0,0,1,105.0,2007.25,1,105.64473684210526
268,59,0,2,1,19.35,1099.6,0,18.63728813559322
269,71,0,2,2,24.25,1732.95,1,24.40774647887324
270,16,0,0,3,94.45,1511.2,0,94.45
271,57,0,2,3,59.75,3450.15,1,60.52894736842106
272,1,1,0,4,24.8,24.8,0,24.8
273,20,0,0,3,107.05,2172.05,1,108.6025
274,1,0,0,1,70.6,70.6,0,70.6
275,5,0,0,3,85.4,401.1,0,80.22
276,52,0,0,3,105.05,5624.85,0,108.17019230769232
277,21,0,0,4,64.95,1339.8,1,63.8
278,14,1,0,3,55.0,771.95,1,55.13928571428572
279,5,0,0,4,50.55,244.75,1,48.95
280,6,0,0,1,55.15,322.9,1,53.81666666666666
281,10,0,0,3,51.2,498.25,1,49.825
282,1,0,0,1,25.4,25.4,1,25.4
283,68,0,0,1,54.45,3687.75,1,54.231617647058826
284,18,0,0,1,95.15,1779.95,0,98.88611111111112
285,22,0,1,2,76.0,1783.6,1,81.07272727272726
286,20,0,0,3,44.35,927.15,1,46.3575
287,1,0,0,3,70.0,70.0,0,70.0
288,8,0,0,3,74.5,606.55,0,75.81875
289,10,0,0,2,44.85,435.4,0,43.54
290,24,0,0,3,76.1,1712.7,0,71.3625
291,35,0,1,1,61.2,2021.2,1,57.74857142857143
292,23,0,1,1,86.8,1940.8,1,84.38260869565217
293,6,0,0,3,89.35,567.8,1,94.63333333333333
294,12,0,0,1,19.7,220.35,1,18.3625
295,1,0,0,1,20.25,20.25,1,20.25
296,71,0,2,3,76.05,5436.45,1,76.56971830985916
297,35,0,0,3,100.8,3437.5,1,98.21428571428572
298,40,0,0,3,74.55,3015.75,1,75.39375
299,1,0,0,1,73.6,73.6,0,73.6
300,23,0,1,4,64.9,1509.8,1,65.64347826086956
301,4,0,0,3,95.45,396.1,0,99.025
302,4,0,0,3,90.4,356.65,1,89.1625
303,68,1,2,2,60.3,4109.0,1,60.4264705882353
304,38,0,0,1,81.85,3141.7,1,82.67631578947368
305,52,0,2,1,24.8,1229.1,1,23.63653846153846
306,32,0,0,3,74.9,2303.35,0,71.9796875
307,29,0,2,1,75.55,2054.4,1,70.84137931034483
308,38,0,0,3,101.15,3741.85,1,98.46973684210526
309,48,0,1,2,78.75,3682.45,1,76.71770833333333
310,1,0,0,4,19.25,19.25,1,19.25
311,22,0,0,3,89.05,1886.25,1,85.73863636363636
312,43,0,2,2,115.05,4895.1,1,113.83953488372094
313,5,0,0,3,69.35,341.6,1,68.32000000000001
314,5,0,0,3,80.6,415.55,0,83.11
315,51,0,1,2,110.05,5686.4,1,111.49803921568626
316,71,0,2,2,19.9,1355.1,1,19.085915492957746
317,38,0,1,2,80.3,3058.65,0,80.49078947368422
318,24,0,0,3,93.15,2231.05,0,92.96041666666667
319,35,0,0,2,91.5,3236.35,1,92.46714285714286
320,54,0,1,4,82.45,4350.1,0,80.55740740740741
321,72,1,2,3,60.0,4264.0,1,59.22222222222222
322,1,0,0,3,44.8,44.8,1,44.8
323,9,0,1,1,48.6,422.3,1,46.922222222222224
324,69,1,2,4,60.05,4176.7,1,60.53188405797101
325,52,0,0,2,102.7,5138.1,1,98.8096153846154
326,11,0,0,3,82.9,880.05,1,80.00454545454545
327,2,0,0,3,70.35,139.05,0,69.525
328,28,1,0,3,35.9,973.65,1,34.77321428571428
329,17,0,0,2,82.65,1470.05,1,86.4735294117647
330,35,0,2,1,19.85,739.35,1,21.124285714285715
331,8,0,1,1,19.2,161.95,1,20.24375
332,46,0,1,2,94.9,4422.95,1,96.15108695652174
333,7,0,0,3,73.85,511.25,0,73.03571428571429
334,2,0,0,1,80.6,155.8,0,77.9
335,68,0,1,4,75.8,5293.95,0,77.85220588235293
336,43,0,2,3,104.6,4759.85,0,110.69418604651165
337,68,0,2,3,88.15,6148.45,1,90.41838235294118
338,36,0,0,2,94.8,3565.65,1,99.04583333333332
339,63,0,0,3,103.4,6603.0,0,104.8095238095238
340,32,0,0,4,54.65,1830.1,1,57.190625
341,71,0,2,2,85.75,6223.8,1,87.65915492957747
342,66,0,0,4,67.45,4508.65,1,68.31287878787879
343,63,0,1,1,20.5,1328.15,1,21.081746031746032
344,41,0,1,2,20.25,865.0,1,21.09756097560976
345,1,0,0,3,72.1,72.1,1,72.1
346,2,0,0,3,90.4,168.2,0,84.1
347,70,0,2,4,19.45,1303.5,1,18.62142857142857
348,23,1,0,3,44.95,996.85,1,43.34130434782609
349,64,0,1,4,97.0,6430.9,1,100.4828125
350,37,0,2,2,62.8,2278.75,1,61.58783783783784
351,17,0,1,1,44.6,681.4,1,40.08235294117647
352,7,0,0,3,89.15,574.35,1,82.05
353,4,0,0,4,84.8,371.9,0,92.975
354,21,1,0,3,41.9,840.1,0,40.00476190476191
355,10,0,0,4,80.25,846.0,0,84.6
356,16,0,0,3,54.1,889.0,1,55.5625
357,64,0,2,3,105.25,6823.4,1,106.615625
358,27,1,0,2,30.75,805.1,0,29.81851851851852
359,42,0,1,3,97.1,4016.75,1,95.63690476190476
360,5,0,0,1,20.2,83.75,1,16.75
361,41,0,2,4,98.8,3959.15,1,96.56463414634146
362,58,0,1,2,50.3,2878.55,1,49.63017241379311
363,47,0,2,1,20.55,945.7,1,20.12127659574468
364,18,0,0,4,75.9,1373.05,1,76.28055555555555
365,5,0,0,4,96.5,492.55,0,98.51
366,23,0,0,4,59.95,1406.0,1,61.130434782608695
367,1,0,0,1,19.15,19.15,1,19.15
368,71,0,1,2,98.65,6962.85,1,98.06830985915494
369,72,0,2,2,112.6,8126.65,1,112.87013888888887
370,33,0,1,1,20.6,690.25,1,20.916666666666668
371,2,0,0,3,85.65,181.5,0,90.75
372,24,1,2,1,35.75,830.8,1,34.61666666666667
373,56,0,1,2,99.75,5608.4,1,100.15
374,37,0,0,2,96.1,3646.8,1,98.56216216216217
375,43,0,1,2,85.1,3662.25,1,85.1686046511628
376,1,1,0,1,25.35,25.35,1,25.35
377,25,0,0,4,104.95,2566.5,0,102.66
378,61,0,2,3,89.65,5308.7,1,87.02786885245901
379,17,0,1,3,86.75,1410.25,1,82.95588235294117
380,41,0,1,4,86.2,3339.05,1,81.44024390243902
381,1,0,0,1,50.65,50.65,0,50.65
382,72,1,2,4,64.8,4732.35,1,65.72708333333334
383,1,0,0,2,90.85,90.85,0,90.85
384,48,0,2,4,108.1,5067.45,1,105.571875
385,11,0,0,1,19.95,214.75,0,19.52272727272728
386,55,0,0,3,85.45,4874.7,0,88.63090909090909
387,42,1,1,3,54.75,2348.45,1,55.91547619047618
388,44,0,0,1,90.4,4063.0,1,92.3409090909091
389,1,0,0,3,44.0,44.0,1,44.0
390,27,0,0,4,95.6,2595.25,1,96.12037037037037
391,27,0,0,4,84.8,2309.55,1,85.53888888888889
392,2,0,0,3,44.3,89.3,1,44.65
393,19,0,0,1,19.9,367.55,1,19.344736842105263
394,42,0,0,3,95.05,3944.5,1,93.91666666666669
395,66,0,2,2,90.05,5965.95,1,90.39318181818182
396,33,0,0,4,109.9,3694.7,1,111.96060606060604
397,34,0,0,2,73.95,2524.45,0,74.24852941176471
398,33,1,0,3,54.6,1803.7,1,54.65757575757576
399,23,0,1,1,20.05,415.1,1,18.047826086956523
400,32,0,1,4,19.75,624.15,1,19.5046875
401,11,0,1,2,20.05,237.7,1,21.60909090909091
402,69,0,0,2,99.45,7007.6,0,101.55942028985508
403,68,0,1,4,55.9,3848.8,1,56.6
404,20,0,2,1,19.7,419.4,1,20.97
405,72,0,2,2,19.8,1468.75,1,20.39930555555556
406,60,0,1,4,95.4,5812.0,1,96.86666666666666
407,32,0,0,1,93.95,2861.45,1,89.4203125
408,1,0,0,1,19.9,19.9,0,19.9
409,1,0,0,1,19.6,19.6,0,19.6
410,3,0,0,3,81.35,233.7,0,77.89999999999999
411,46,0,1,4,24.45,1066.15,1,23.17717391304348
412,29,0,0,3,74.95,2149.05,1,74.10517241379311
413,51,0,0,3,87.35,4473.0,1,87.70588235294117
414,48,0,0,4,70.65,3545.05,1,73.85520833333334
415,16,0,0,4,73.25,1195.75,1,74.734375
416,70,0,2,4,98.7,6858.9,1,97.9842857142857
417,40,0,2,1,24.8,1024.7,1,25.6175
418,22,0,0,3,83.3,1845.9,0,83.90454545454546
419,1,0,0,4,75.3,75.3,0,75.3
420,5,0,0,1,24.3,132.25,1,26.45
421,7,0,0,4,69.85,515.45,1,73.63571428571429
422,29,0,1,2,100.55,2830.45,1,97.60172413793104
423,44,0,1,1,25.7,1110.5,1,25.238636363636363
424,10,1,0,4,40.7,449.3,1,44.93
425,55,0,0,4,51.65,2838.55,1,51.61000000000001
426,52,0,1,4,105.1,5376.4,1,103.39230769230768
427,10,0,0,3,85.95,858.6,1,85.86
428,18,0,0,4,75.6,1395.05,1,77.50277777777778
429,68,0,1,4,58.25,3975.7,1,58.46617647058823
430,61,0,0,1,19.4,1182.55,0,19.38606557377049
431,72,1,2,2,65.2,4784.45,1,66.45069444444444
432,2,0,0,3,53.45,119.5,1,59.75
433,12,0,0,4,45.4,518.9,0,43.24166666666667
434,41,0,2,3,19.75,899.45,1,21.93780487804878
435,26,1,0,2,44.45,1183.8,1,45.53076923076923
436,36,0,1,4,20.85,720.05,1,20.001388888888886
437,72,0,2,2,114.05,8468.2,1,117.6138888888889
438,35,0,0,4,89.85,3161.2,1,90.32
439,1,0,0,1,55.05,55.05,1,55.05
440,16,0,0,3,112.95,1882.55,1,117.659375
441,49,0,0,2,101.55,5070.4,1,103.47755102040816
442,54,0,1,1,114.65,6049.5,1,112.02777777777776
443,18,0,0,3,64.8,1166.7,1,64.81666666666666
444,36,0,0,3,80.4,2937.65,1,81.60138888888889
445,60,0,0,3,105.9,6396.45,0,106.6075
446,1,0,0,1,69.55,69.55,0,69.55
447,52,0,2,4,25.05,1270.25,1,24.427884615384617
448,8,0,0,3,94.75,759.55,1,94.94375
449,72,0,2,4,105.5,7611.55,1,105.71597222222222
450,64,0,1,1,24.7,1642.75,1,25.66796875
451,22,0,0,1,69.75,1545.4,1,70.24545454545455
452,60,1,0,4,60.2,3582.4,1,59.70666666666667
453,28,0,0,3,81.05,2227.1,0,79.53928571428571
454,61,0,2,1,24.4,1417.9,1,23.24426229508197
455,24,0,0,3,104.15,2494.65,1,103.94375
456,28,0,1,4,92.9,2768.35,1,98.86964285714284
457,30,0,2,4,80.8,2369.3,1,78.97666666666667
458,2,0,0,1,20.0,38.0,1,19.0
459,1,0,0,3,75.1,75.1,1,75.1
460,6,0,0,1,19.65,100.9,1,16.816666666666666
461,24,0,0,4,69.45,1614.05,1,67.25208333333333
462,4,0,0,3,101.15,385.9,0,96.475
463,7,0,0,3,99.8,673.25,0,96.17857142857144
464,72,0,2,4,116.05,8404.9,1,116.73472222222222
465,70,1,2,1,40.05,2799.75,1,39.996428571428574
466,64,0,2,3,102.1,6538.45,1,102.16328125
467,72,0,1,3,89.7,6588.95,1,91.51319444444444
468,44,0,2,1,19.9,868.1,1,19.72954545454545
469,13,0,0,3,55.95,734.35,0,56.48846153846154
470,17,0,1,1,20.65,330.6,1,19.447058823529414
471,1,0,0,3,55.0,55.0,0,55.0
472,9,0,0,1,70.05,564.4,1,62.71111111111111
473,24,0,0,1,53.6,1315.35,1,54.80625
474,1,0,0,3,74.7,74.7,0,74.7
475,24,0,0,3,80.25,1861.5,0,77.5625
476,35,0,0,3,76.05,2747.2,1,78.49142857142857
477,7,0,0,3,75.7,554.05,1,79.14999999999999
478,5,0,0,3,96.1,453.4,0,90.68
479,15,0,0,4,69.0,994.8,0,66.32
480,11,0,2,1,19.65,225.75,1,20.52272727272728
481,48,1,0,4,45.3,2145.0,0,44.6875
482,20,0,0,3,81.45,1671.6,1,83.58
483,72,0,1,4,108.5,8003.8,1,111.16388888888888
484,8,0,0,3,83.55,680.05,0,85.00625
485,72,0,2,2,84.5,6130.85,1,85.15069444444445
486,15,0,0,3,100.15,1415.0,1,94.33333333333331
487,72,0,2,4,88.6,6201.95,1,86.13819444444444
488,1,0,0,3,74.35,74.35,0,74.35
489,63,0,2,4,104.8,6597.25,1,104.71825396825396
490,2,0,0,3,59.0,114.15,1,57.075
491,2,0,0,3,74.4,139.4,0,69.7
492,61,0,1,4,64.05,3902.6,1,63.97704918032787
493,1,0,0,1,20.4,20.4,1,20.4
494,22,1,1,4,43.75,903.6,0,41.07272727272727
495,28,0,0,1,60.9,1785.65,1,63.77321428571429
496,70,0,2,4,19.8,1397.65,1,19.966428571428573
497,5,1,0,3,28.45,131.05,0,26.21
498,12,0,0,4,99.7,1238.45,0,103.20416666666668
499,34,0,1,2,116.25,3899.05,1,114.6779411764706
500,71,0,2,2,80.7,5676.0,1,79.94366197183099
501,70,0,1,4,65.2,4543.15,1,64.90214285714285
502,52,0,0,4,84.05,4326.8,1,83.20769230769231
503,69,0,2,2,79.45,5502.55,1,79.74710144927536
504,20,0,0,3,94.1,1782.4,0,89.12
505,11,0,0,1,78.0,851.8,1,77.43636363636364
506,2,0,0,3,94.2,167.5,0,83.75
507,6,0,0,3,80.5,502.85,0,83.80833333333334
508,1,0,0,1,19.85,19.85,1,19.85
